id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5032453614082256,OdCgxh7YQ,1964619957,青春上海,【#1200名奥运会资格系列赛·上海志愿者就位#】5月16日-19日，2024年奥运会资格系列赛·上海将在黄浦滨江举行，距比赛开赛一周之际，5月9日下午，奥运会资格系列赛·上海志愿者上岗仪式在赛地举行。经过多轮面试，确定来自@复旦大学、@华东理工大学、@上海外国语大学、@上海财经大学、上海交通大学医学院等14所高校的800余位学生志愿者和400余名社会志愿者即将走上志愿者工作岗位。#青春加油站#L青春上海的微博视频,,,"复旦大学,华东理工大学,上海外国语大学,上海财经大学","1200名奥运会资格系列赛·上海志愿者就位,青春加油站",10,12,423,2024-05-10 12:05,微博视频号,,"http://f.video.weibocdn.com/o0/LjDBUHYflx08eK0Npd6o01041200ercH0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1749215788&ssig=Ectu57wfd8&KID=unistore,video",,,蓝V,会员,7
5032495531950279,OdDm98bm7,7124801549,MetaSVS莓塔体育,天王山之战即将打响！#SVS光明随心订虚拟自行车联赛#高校赛第三轮今晚展开较量，个人分站赛冠军悬念亟待揭晓。位列团体榜首的上海交通大学与次席的上海工程技术大学仅有一分之差，争冠趋势依旧扑朔迷离。本场赛事将在新媒体平台进行直播，还有解说天团@张莉瑩_莉宝@邹成559@@解说李瓒Reason-lz带来精彩评述！#SVS上海虚拟体育公开赛#,,,"张莉瑩_莉宝,邹成559,解说李瓒Reason-lz","SVS光明随心订虚拟自行车联赛,SVS上海虚拟体育公开赛",22,52,52,2024-05-10 14:51,微博网页版,"https://wx4.sinaimg.cn/large/007MaWm1gy1hpkex7f1hzj30u01m5qj3.jpg,https://wx1.sinaimg.cn/large/007MaWm1gy1hpkex8pv7aj30zf1wcqqn.jpg,https://wx4.sinaimg.cn/large/007MaWm1gy1hpkex9zn70j32yo1o0kjn.jpg,https://wx1.sinaimg.cn/large/007MaWm1gy1hpkex8d8lrj30zk0k0h92.jpg",,,广西,蓝V,非会员,0
5032407462314884,OdB469IcQ,1784473157,中国新闻网,【#院士汪耕逝世#】#汪耕逝世#中国共产党党员，教授级高级工程师，中国科学院学部委员（院士)，世界著名汽轮发电机专家，上海电气集团上海电机厂有限公司原副厂长、副总工程师、上海交通大学兼职教授汪耕同志，于2024年5月8日12点31分因病医治无效，在上海逝世，享年96岁。（南京日报）,,,,"院士汪耕逝世,汪耕逝世",11,22,125,2024-05-10 09:01,微博网页版,https://wx3.sinaimg.cn/large/001WLsZ7ly1hpk597mjq0j60uj29qnpd02.jpg,,,,普通用户,超级会员,2
5032380605923569,OdAmMoQZr,3527687082,海上一浪花,侯美度：1966年初识王洪文十年“文革”，一场浩劫。1966年，我还是一个中学生，在学校停课闹革命的形势下，曾经积极投入到运动中，随着时间的推移，逐渐看清了“文革”的实质。本文是笔者“文革”初的一段经历，提供读者研究参考。1966年10月下旬，晚秋的中国，风不平浪不静，从北京串连带回“革命火种”的各地学生都在酝酿大的动作。上海，一批在九四事件串连认识的大学红卫兵，正在加紧筹划市一级红卫兵组织。筹备会议于11月2日在人民公园召开。来自四所大学一所中学的二十几名学生参加了会议。开会要先读语录，这是规矩，我们念的是毛主席在中共八届十一中全会上发表的《炮打司令部——我的一张大字报》。读着这张大字报，我们仿佛看到我们的红司令毛主席在向千军万马做战斗动员令，我们也是这千军万马中的一名小兵啊！会上有人提议把司令部设在巨鹿路691号。这所房子的主人是一个私业医生。第二天，我们一行人又来到上海交通大学“反修楼”与“反到底”兵团红卫兵许云飞见了面。许云飞原是一司红卫兵，他们去抄家，他不愿去，被一司开除了。他就自己组织红卫兵。许云飞是天生的演说家，一说话就像磁铁一样牢牢吸引了我们：“红卫兵战友们，我们选定了工学运动，这条路选得好，选得对！这是一条历史必由之路，一条胜利之路！我们一鼓作气，在“反修楼”宣布成立上海市红卫兵炮打司令部联合兵团（简称“炮司”）11月5日晚，我们和中央美术学院的学生包炮串联了上海部分工人造反派，在“首都三司”驻沪联络站开预备会，商量明天“上海工人串连交流经验会”出席者名单，大家你一句我一句提出上海造反精神最足的工人姓名，我们记下名字，然后去通知他们。上海工厂的“文化大革命”起步较早，运动开始不久，中央特批40万上海工人从“四清”直接转入“文化大革命”。早在6月，上海工人中的造反派就贴出反党委、反工作组的大字报。“首都三司”驻沪联络站设在愚园路311号一幢小洋房里，原来是资本家的房子，扫“四旧”时，是红卫兵用一纸勒令把房主赶走了。11月6日下午。来自十七家工厂的三十多个造反派代表陆续到达“首都三司”驻沪联络站，有谢鹏飞（上海铁路局装卸机械修理厂锻工）、潘国平（上海玻璃机械厂工人）、陈阿大（上海良工阀门厂钳工）、王洪文（上海第十七棉纺织厂保卫干事）等。我与周谷声、江必雄（上海师范学院学生）、林翌、许云飞等炮司红卫兵参加了这次串连会。会议一开始，潘国平、谢鹏飞等人争先恐后地说厂党委、工作组对他们的迫害，说的和听的都哭了，会议在一片嘤嘤啜泣声中进行。周谷声噙着满眶热泪，激动地说：“工人同志们，你们用血和泪控诉了上海黑市委的累累罪行，对我们教育很大，我们决心向你们学习，和你们一起把上海市委的资产阶级反动路线彻底批臭批倒，把上海市委、华东局的问题彻底弄清，不达目的，死不瞑目。”陈阿大忘情地把手一举：“向红卫兵小将学习。”激情之余大家决定要成立一个全市性组织，这个组织的名称叫上海工人革命造反总司令部，并在11月9日召开一个控诉上海市委的大会，同时向社会宣布成立上海工人革命造反总司令部。总司令部设在什么地方？这个问题一提出，热情洒脱的林翌便一揽子包下来：“你们司令部设在我们司令部里，我们还有电话。”潘国平亲兄弟般地捶林翌几拳：“到底是老朋友！”散会了，工人走光了，许云飞把我们留下来，谈了他的顾虑。他不熟悉这些工人，有的是第一次见到。今天，他来晚了一些。他来的时候，工人已经在谈筹备会议了，要审查这些人。他是红五类出身，有些害怕，不要弄了半天，让坏人混进“工总司”。包炮表示支持：“许云飞说得对，为了保持工人阶级队伍的纯洁性，有必要对核心成员进行审查，一旦发现劣迹，立即开除。你们炮司出人，我们出介绍信。”我们的图章没有刻好，只能借用他们的介绍信。我们必须在一天内完成十七个工人的调查（参加“串联会”的十七家工厂各派一名代表组成“工总司”核心小组”）。11月7日凌晨，王洪文等十几个工人，扛着一匹匹红布，挟着寒风，敲开了我们的门。“到布店造反来的”，王洪文说。我们把他们让在沙发上休息，也许是太累了，这些工人一会儿就打起呼噜，进入梦乡。许云飞拿起男宿舍仅有的几条棉被，轻手轻脚盖在工人们的身上。“谁？”一个工人朦胧中睁开眼，一看是红卫兵为他盖棉被，顿时激动得握住许云飞的手，连声说：“谢谢，谢谢。”天刚破晓。一个个“政审”小组就悄悄地从巨鹿路出发了。王洪文他们还在睡梦中，我们没有吵醒他们。许云飞和一个男生到上钢三厂调查戴祖祥，他们很仔细，找了许多人谈话，有厂领导，也有和戴祖祥一个班组的工人，有人反映其人有偷窃行为。许云飞毫不留情地决定把戴祖祥开除出核心组。江必雄调查陈阿大。调查王洪文的是我和周谷声。我俩都是在昨天会议上刚刚认识王洪文的，对他一无所知。同一天，我们还要调查黄金海，时间较紧，我们决定骑自行车去。我不会骑自行车，读书时在操场上学过两次自行车，从来没有上过街，为了抢时间，只好冒一下险了。我在里挡，周谷声在外档，他小心翼翼地保护着我。我觉得挺刺激好玩，他却紧张得把心提在喉咙口。骑了一个多小时，穿过外滩、外白渡桥、提篮桥，沿着杨树浦路到底，国棉十七厂到了。我们进厂后，没有立即找工作组，先浏览一下大字报，看看有没有写王洪文个人品质的大字报，没有发现。我提出找工作组，他们是王洪文的对立面，如果王洪文有什么问题，他们不会不说。言之有理，周谷声点头称是。我们踏进一间整洁的办公室，一个四十多岁，剪着齐耳短发、面目可亲的工作组组长施惠珍接待我们。她亲切地和我们握握手，请我们坐下，又给我们每人沏了一杯热茶。我们拿出介绍信，说明来意——了解王洪文有没有劣迹。“王洪文同志出身苦，当过兵。复员到我厂后工作表现一般。”施惠珍简略地介绍了王洪文的情况后，话锋一转，滔滔不绝地谈起了王洪文在“文革”中的表现，从他第一个写厂党委大字报说起，一直说到他组织赶工作组。因为是她亲身经历，说得比较细。周谷声不断向我眨眼晴，意思是说：施惠珍说的这些事，正好说明王洪文造反精神足，不能说明王洪文有什么问题。“施惠珍同志，王洪文有没有判过刑，蹲过监狱？”我问。我们最怕这事，如果让一个刑满释放分子混进“工总司”，“工总司”就不纯了。答复很明确：“没有。”我和周谷声同时松了一口气，我用眼睛使了一个“可以走”的眼神，周谷声看懂了。我们一起站起来，向施惠珍告别。热情好客的施惠珍一直把我们送到大门口，还一直叮咛有什么问题，可以再来找她。从国棉十七厂出来，我们急急地赶到国棉三十一厂，不巧碰上了厂休，厂内空无一人。我非常沮丧，两条腿像灌了铅一样一步也挪不动了。周谷声也很失望，但又不甘心白来，他说：“你去问问看门的工人吧，问总比不问好。”我也想不出比这更好的办法。“工人同志，我们向侬打听一个人，你们厂里有没有一个叫做黄金海的人？”“有，你们明天来。”“明天我们没有空，侬能不能告诉我们，这个人有没有判过刑、关过牢？”“没有”，老工人干脆利落地说。一块石头落地，就凭门卫一句话，黄金海也进了核心组。11月7日晚，我们和包炮把“工总司”核心小组的名单定下来了，除了戴祖祥和神秘的岑麒麟（他是保密厂的技术员，中共党员，地址保密，我们无从调查他，只好“忍痛割爱”）“政审”没有通过，其余十五个草莽好汉以“工总司”核心组成员的身份住进了巨鹿路691号。巨鹿路又成了“工总司”的司令部。潘国平，二十岁，复员军人，风度不凡，穿一身军便服，说一口北京话，常被人误认为北京红卫兵，他被推选为负责人。王洪文，三十一岁，讲一口东北口音的普通话，老练持重，清秀端庄。由于他是核心组唯一的中共党员，也被推选为负责人。11月7日晚。“工总司”核心组成员和“炮司”红卫兵第一次联席会议在巨鹿路691号召开，许云飞简略地介绍了我们“政审”的情况，“工总司”核心组表示完全同意。注：侯美度，上海振华外经职业技术学校图书馆退休人员，口述记载，华师大民间记忆。#历史##涨姿势##上海身边事#,,,,"历史,涨姿势,上海身边事",8,7,23,2024-05-10 07:14,海上一浪花超话,https://wx2.sinaimg.cn/large/d2443baaly1hpk21d4l0sj209q0b8t9e.jpg,,,上海,黄V,超级会员,2
5032509480370203,OdDIE1yj1,5658451754,卡尔达瓦里希,5月8日16时14分，嫦娥六号任务搭载的国际载荷之一巴基斯坦立方星与轨道器在周期12小时环月大椭圆轨道的远月点附近分离，随后成功拍摄影像。巴基斯坦立方星项目实现“成功分离，获得遥测”的既定目标，取得圆满成功。SJTU思源二号探月卫星是由巴基斯坦空间技术研究所和上海交通大学于2023年初启动巴基斯坦立方星联合研制，2024年按计划完成与探测器的总装、测试和发射场准备，5月3日随嫦娥六号探测器发射升空。巴基斯坦立方星项目成功验证了纳卫星月球轨道探测技术，探索了中巴月球与深空探测任务合作模式，为后续任务中双方更深入的合作奠定了基础。图1：2024年5月8日16:27，巴基斯坦立方星拍摄的首幅图像，亮光处为太阳。图2：2024年5月8日19:56，巴基斯坦立方星拍摄的首幅月球图像。图3：2024年5月9日14:38，巴基斯坦立方星拍摄的日月合影，左侧为月球，右侧为太阳。(国家航天局),,,,,6,5,28,2024-05-10 15:47,,"https://wx2.sinaimg.cn/large/006aWhMSgy1hpkgu962p2j30u00gwwkn.jpg,https://wx1.sinaimg.cn/large/006aWhMSgy1hpkguajawdj30u00gwag5.jpg,https://wx4.sinaimg.cn/large/006aWhMSgy1hpkgubvbquj30u00gwtfc.jpg",,,海南,红V,超级会员,1
5032569466260277,OdFhoqgAd,1702833725,全球热门,为什么一定要上名校？我被上海交大的校园环境深深震撼了！名校真的太牛了！家长可以让孩子看看！L全球热门的微博视频,,,,,10,0,17,2024-05-10 19:45,微博视频号,,"http://f.video.weibocdn.com/o0/JE5TP3nXlx08eKwpmwuI01041201bIjc0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1749215670&ssig=OPwVZ6Wk17&KID=unistore,video",,湖南,红V,超级会员,1
5032538031262131,OdEsH5ikX,7604660608,SpaceLens云上天镜,【中国向巴基斯坦交接嫦娥六号任务巴基斯坦立方星数据】5月10日，中国国家航天局在京举办嫦娥六号任务巴基斯坦立方星数据交接仪式。国家航天局国际合作司、探月与航天工程中心、中国科学院国家天文台、上海交通大学、巴基斯坦空间和外大气层研究委员会及亚太空间合作组织等单位代表出席。仪式上，国家航天局探月与航天工程中心作为工程总体作嫦娥六号任务情况报告，巴基斯坦空间技术研究所作载荷研制及国际合作情况报告，上海交通大学作为该载荷中方责任单位报告了合作研制情况。5月8日16时14分，嫦娥六号任务搭载的国际载荷之一巴基斯坦立方星与轨道器在周期12小时环月大椭圆轨道的远月点附近分离，随后成功拍摄第一幅影像。巴基斯坦立方星项目实现“成功分离，获得遥测”的既定目标，取得圆满成功。巴基斯坦空间技术研究所和上海交通大学于2023年初启动巴基斯坦立方星联合研制，2024年按计划完成与探测器的总装、测试和发射场准备，5月3日随嫦娥六号探测器发射升空。巴基斯坦立方星项目成功验证了纳卫星月球轨道探测技术，探索了中巴月球与深空探测任务合作模式，为后续任务中双方更深入的合作奠定了基础。,,,,,2,4,28,2024-05-10 17:40,微博网页版,"https://wx1.sinaimg.cn/large/008iEnCgly1hpkk4aa11tj30fe08odgh.jpg,https://wx4.sinaimg.cn/large/008iEnCgly1hpkk4aa2jpj30fe08o0tf.jpg,https://wx1.sinaimg.cn/large/008iEnCgly1hpkk4a9t4hj30fe08omxr.jpg",,,福建,红V,超级会员,1
5032429582553304,OdBDMaIek,5501487510,我从新疆来,阿布都沙拉木，去年在上海交通大学获得博士学位后，目前在上海交大医学院附属瑞金医院，从事博士后研究工作。#我从新疆来##我到新疆去#L我从新疆来的微博视频,,,,"我从新疆来,我到新疆去",2,1,25,2024-05-10 10:29,微博视频号,,"http://f.video.weibocdn.com/o0/baYs5Pdrlx08eJUeKzjy01041200BKJz0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1749215803&ssig=aVEaFm9SHx&KID=unistore,video",,新疆,蓝V,非会员,0
5032535341662610,OdEom6Ywi,1739746697,上海交通大学,#南洋资讯##全国大学生职业规划大赛#就在今天，全国关注！首届全国大学生职业规划大赛成长赛道高教组总决赛在上海交通大学开赛！来自全国各高校的175名选手，通过主题陈述、评委提问和天降offer三个环节，充分展示了通过学习和实践持续提升能力和素质，从而实现职业目标的成长过程。L上海交通大学的微博视频,,,,"南洋资讯,全国大学生职业规划大赛",0,2,23,2024-05-10 17:29,微博视频号,,"http://f.video.weibocdn.com/o0/honvS9YTlx08eKn5Wckw01041201n9z80E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1749215716&ssig=Dw43At12Y4&KID=unistore,video",,上海,蓝V,超级会员,1
5032489535670955,OdDctnNh1,1613451640,南京先锋书店,故事的另一半：万玛才旦纪念会暨长三角首发分享会2024年5月11日（周六）19:00，我们荣幸邀请到南京师范大学教授、文学评论家何平，南京大学教授傅元峰，上海交通大学教授杨弋枢，当代艺术家、独立策展人曹恺，做客南京先锋书店五台山总店，四位嘉宾将从文学与影视两个维度，通过遗作小说集《松木的清香》和译作集《如意故事集：代代相传的藏地民间故事》的出版，深入探讨万玛才旦作品的艺术魅力和文化价值，为我们带来一场思想与文化的盛宴。让我们在故事的另一半中，感受文学的力量，体会藏地文化的深度，并接过这些故事，继续讲述下去。L南京先锋书店的微博视频万玛才旦纪念会暨长三角首发分享会,,,,,6,0,10,2024-05-10 14:27,微博直播,,"http://live.video.weibocdn.com/78069c1c-9fa2-40cc-a1e6-9467c906f43f_index.m3u8?ori=0&ps=1BVp4ysnknHVZu&Expires=1749215764&ssig=wHgkeBn%2BJg&KID=unistore,video",,,蓝V,非会员,0
