id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5032609323155560,OdGjGdeU8,5244242048,Kimichenoo-,毕业答辩🎓,,成都·电子科技大学(清水河校区),,,0,7,25,2024-05-10 22:23,iPhone客户端,"https://wx3.sinaimg.cn/large/005IUiVagy1hpks9t3866j30u00u0423.jpg,https://wx3.sinaimg.cn/large/005IUiVagy1hpks9r2mioj30rs0h1wgp.jpg,https://wx2.sinaimg.cn/large/005IUiVagy1hpks9rm98cj30u0140wk9.jpg,https://wx2.sinaimg.cn/large/005IUiVagy1hpks9s5eqqj30u0140dn0.jpg,https://wx1.sinaimg.cn/large/005IUiVagy1hpks9smj35j30u0140wkf.jpg",,,四川,普通用户,非会员,0
5032480837208595,OdCYrufhF,5902137086,愚人众2000,#电子科技大学##25考研##成电考研##计算机考研#24考研上岸计算机科学与工程学院计算机科学与技术专业，初试总分422，数一138，英一76，820计算机专业基础131，政治77。可接考研咨询与辅导和帮忙制定各科复习路线，还可监督每天的学习。因为我是二战考上，二战提分了80+，所以我比其他人更知道失败的原因和弯路，前人的成功经验固然重要，但是相对来说前人部分暂时没成功的教训更值得去反思，因为很多问题它是有共性的，人和人的共性是存在的，尽可能去避免它，这才是最宝贵的财富。真的希望学弟学妹们不要像我第一年一样走那么多的弯路，所以有想咨询数一、英一、820的都可以小窗我（有偿的），我个人觉得听听我的见解，可以让你不再去报什么机构的辅导课了，其他的上面没提到的也可以私信问我！！！我比其他人更清楚考研的坑有哪些，我可以保证我会真心对待每一个咨询我的学弟学妹。下单前可私信我先了解一下,,成都·电子科技大学(清水河校区),,"电子科技大学,25考研,成电考研,计算机考研",0,6,3,2024-05-10 13:53,iPhone客户端,"https://wx4.sinaimg.cn/large/006rqLtsgy1hpkdfstmaej31qf0goadp.jpg,https://wx1.sinaimg.cn/large/006rqLtsgy1hpkdftb42wj31i10godjp.jpg",,,四川,普通用户,非会员,0
5032443679604983,OdC0vEiH5,5120189497,浪花朵朵童书,"#浪花朵朵童书##母亲节##女性成长#💌母亲节特别活动——女儿·女孩·母亲「代际对谈」这个#母亲节#，我们有一场充满爱与信任的对谈。由一本书开始，让母亲穿越回青春期，讲述她的青春迷茫与悸动；聆听和沟通的另一边是青春期的女儿。母亲、女儿，一切始于女孩。于是，我们从《女孩之书》开始。🕙活动时间：5月12日周日　下午15：00-16：30💛活动书籍：《女孩之书》🔖活动主题：母亲节特别活动——女儿女孩母亲代际对谈🌳活动地点：成都市高新区天府大道北段成都SKP2FSKPRDVKID对谈嘉宾：苏南赋权型性教育高级讲师、""中国看见光女性关爱行动""教培规划官、""山坡simple""性/别友善社群空间主理人、四川大学社会学硕士对谈嘉宾：吴雨桐未名文学社社长电子科技大学ALevel高二在读",,,,"浪花朵朵童书,母亲节,女性成长",0,4,3,2024-05-10 11:25,微博网页版,"https://wx4.sinaimg.cn/large/005AvNbzly1hpk9523e0cj313i1nab2b.jpg,https://wx3.sinaimg.cn/large/005AvNbzly1hpk9ocj9s4j311y1kynpe.jpg,https://wx4.sinaimg.cn/large/005AvNbzly1hpk9oflmisj311y1kynpe.jpg",,,,蓝V,非会员,0
5032287987041928,OdxXotxVu,5627190095,-豆糕啵-,成都家教超话本人男，川大本科，现电子科技大学研究生，找在郫都区需要提升英语的初高中孩子，高考英语143，四六级580+，雅思口语7.5，有出国学习经历，曾精心带过两个初中的孩子，很喜欢和孩子打交道，也擅长发现孩子的薄弱点需有口语陪练的也可以找我,,,,,0,3,2,2024-05-10 01:06,成都家教超话,,,,浙江,普通用户,非会员,0
5032534142882544,OdEmqc5SE,2240450383,中工校园微博,#中工新闻#河南省教育厅厅长毛杰一行来校调研指导河南电子科技大学筹建工作（发布：大学生融媒体中心）O河南省教育厅厅长毛杰一行来校调研指导河南电子科技大学筹建工作,,,,中工新闻,0,1,3,2024-05-10 17:25,中原工学院超话,,,,河南,黄V,会员,7
5032533597621202,OdElxvYCC,3274526072,中原工学院微博协会,#中工新闻#河南省教育厅厅长毛杰一行来校调研指导河南电子科技大学筹建工作（发布：大学生融媒体中心）O河南省教育厅厅长毛杰一行来校调研指导河南电子科技大学筹建工作,,,,中工新闻,0,0,1,2024-05-10 17:22,中原工学院超话,,,,河南,蓝V,会员,7
5032537904646500,OdEsujuLy,7492434802,成都太古思学留学,美国留学的时间线来啦！各位同学有问题都🉑问太小古哦！！太古美国留学项目组随时待命！！各位同学请注意⚠️⚠️太古留学的🇺🇸美国留学组诚意邀请各位同学前来了解，我们是一家主做英语系国家留学的机构，从开始创立但现在，美国留学的申请作为我们的✨项目非常有口碑🤞🤞无论你是四川大学，电子科技大学，四川农业大学，西南财经大学的同学，还是成都理工大学，西南石油大学，西南交通大学的同学，✍🏻️✍🏻️还有等等院校的学子，都能在我们这里找到您学长或者学姐的申请案例哦无论是本科还是研究生留学，又或是您对于留学有一些问题需要解答，都可以cue太小古哦~🤞随时待命#出国留学申请#出国留学超话成都留学超话#成都留学机构#美国留学申请超话,,,,"出国留学申请,成都留学机构",0,0,0,2024-05-10 17:39,Android,"https://wx2.sinaimg.cn/large/008b3uyCgy1hpkk3rwocej30yi1a4npd.jpg,https://wx3.sinaimg.cn/large/008b3uyCgy1hpkk3sucpvj30yi1a47tk.jpg,https://wx2.sinaimg.cn/large/008b3uyCgy1hpkk3thq0lj30yi1a4qti.jpg,https://wx2.sinaimg.cn/large/008b3uyCgy1hpkk3u3ymkj30yi1a4e6r.jpg,https://wx1.sinaimg.cn/large/008b3uyCgy1hpkk3uxrrxj30yi1a47wh.jpg",,,四川,蓝V,非会员,0
5032512680102556,OdDNO0qG8,3149831401,成都科技,#小科关注#【施小琳会见电子科技大学党委书记曹萍、校长胡俊】5月10日，省委副书记、市委书记施小琳会见了电子科技大学党委书记曹萍、校长胡俊一行。市委副书记陈彦夫一同会见。施小琳代表市委、市政府对电子科技大学长期以来给予成都发展的大力支持表示感谢，并简要介绍了成都科技创新、产业发展等方面情况。详情：O施小琳会见电子科技大学党委书记曹萍、校长胡俊（成都日报）,,,,小科关注,0,0,0,2024-05-10 15:59,微博网页版,https://wx4.sinaimg.cn/large/bbbe9ce9ly1hpkh788c0yj20u00azjzm.jpg,,,,蓝V,非会员,0
5032461060802436,OdCsy3mKw,3263657287,浙江工商大学杭州商学院,#杭商分享#【#那些年激励过我们的大学校训#】#还有1个月就高考了#。盘点充满力量的大学校训，追光少年们，朝着心中目标，为梦想而战：①清华大学：自强不息，厚德载物②四川大学：海纳百川，有容乃大③电子科技大学：求实求真、大气大为④重庆大学：耐劳苦、尚俭朴、勤学业、爱国家⑤浙江大学：求是创新⑥南开大学：允公允能，日新月异（via@人民日报）,,,人民日报,"杭商分享,那些年激励过我们的大学校训,还有1个月就高考了",0,0,0,2024-05-10 12:34,iPhone客户端,"https://wx4.sinaimg.cn/large/c2877547gy1hpkba1fezjj20u01hcmzl.jpg,https://wx3.sinaimg.cn/large/c2877547gy1hpkba1wsfjj20u01hcabw.jpg,https://wx2.sinaimg.cn/large/c2877547gy1hpkba0w2okj20u01hc40b.jpg,https://wx1.sinaimg.cn/large/c2877547gy1hpkba2ngekj20u01hcq58.jpg,https://wx4.sinaimg.cn/large/c2877547gy1hpkba33q8uj20u01hc0v2.jpg,https://wx2.sinaimg.cn/large/c2877547gy1hpkba3p0caj20u01hcwgo.jpg,https://wx2.sinaimg.cn/large/c2877547gy1hpkba4cb27j20u01hcac9.jpg,https://wx3.sinaimg.cn/large/c2877547gy1hpkba4tqi7j20u01hc0ul.jpg,https://wx2.sinaimg.cn/large/c2877547gy1hpkba5bzguj20u01hc76d.jpg",,,浙江,蓝V,非会员,0
5032421881284688,OdBrm5ocM,3046828120,希望教育集团,发布了头条文章：《马来西亚英迪国际大学与电子科技大学光电科学与工程学院签署国际本科》O马来西亚英迪国际大学与电子科技大学光电科学与工程学院签署国际本科,http://t.cn/A6HUAwzi,,,,0,0,0,2024-05-10 09:58,微博 weibo.com,,,,四川,蓝V,非会员,0
